date,index,location,location2,Grid,Plot,Way Point,GPS used,Tag #,Species,Ht (cm),Diameter stem 1,Diameter stem 2,Diameter stem 3,Diameter stem 4,Diameter stem 5,Diameter stem 6,Diameter stem 7,Diameter stem 8,# of stems,%,Age,Respr,% circum,Add circum,< 3m %,Age,% Regrow,Borers %,Fire (y/n),Toppled (y/n),Respr,Elephant (y/n),Alive (y/n),notes,Data entered by
28-May-16,79,Kruger National Park,Lower sabie,3,22,49,NI,,Combretum imberbe,900,48.8,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,N/A,N/A,N/A,N,N,N/A,N,Y,,Tsego
28-May-16,80,Kruger National Park,Lower sabie,3,22,50,NI,,Acacia nigrescens,620,24.4,0,0,0,0,0,0,0,1,4,O,N,45,45,25,O,70,2,Y,N,N,Y,Y,,Tsego
28-May-16,81,Kruger National Park,Lower sabie,3,22,51,NI,,Acacia nigrescens,650,37.3,0,0,0,0,0,0,0,2,4,O,N,0,0,0,N/A,N/A,N/A,N,N,N/A,N,Y,,Tsego
28-May-16,82,Kruger National Park,Lower sabie,3,22,52,NI,,Acacia nigrescens,610,20.8,0,0,0,0,0,0,0,1,4,O,N,0,0,0,N/A,N/A,N/A,N,N,N/A,N,Y,,Tsego
28-May-16,83,Kruger National Park,Lower sabie,3,22,53,NI,,Acacia nigrescens,610,16.5,0,0,0,0,0,0,0,1,7,O,N,0,0,0,N/A,N/A,N/A,N,N,N/A,N,Y,,Tsego
28-May-16,84,Kruger National Park,Lower sabie,3,22,54,NI,,Combretum imberbe,550,16.6,0,0,0,0,0,0,0,2,10,O,N,20,23,11,O,1,15,Y,N,N,Y,Y,,Tsego
28-May-16,85,Kruger National Park,Lower sabie,3,22,55,NI,,Combretum imberbe,540,12.7,0,0,0,0,0,0,0,4,15,O,N,12,27,10,O,0,0,Y,N,N,Y,Y,,Tsego
28-May-16,86,Kruger National Park,Lower sabie,3,22,56,NI,,Combretum imberbe,620,12,0,0,0,0,0,0,0,4,10,O,N,15,18,20,O,0,3,Y,N,N,Y,Y,,Tsego
28-May-16,87,Kruger National Park,Lower sabie,3,23,40,NI,,Sclerocarya birrea,510,59.6,0,0,0,0,0,0,0,1,5,O,N,25,65,35,O,35,5,N,N,N,Y,Y,,Tsego
28-May-16,88,Kruger National Park,Lower sabie,3,23,41,NI,,Acacia nigrescens,550,30.5,0,0,0,0,0,0,0,3,15,O,N,11,20,15,O,70,6,Y,N,N,Y,Y,,Tsego
