date,grid,plot,zone,side,fixed_area,height,num_stems,stem_1_diam,stem_2_diam,stem_3_diam,stem_4_diam,stem_5_diam,canopy_breakage,breakage_age,breakage_resprout,circum,add_circum,bark_stripped,strip_age,bark_regrow,borer,fire,toppled,toppled_resprout,elephant_damage,alive,notes,data_collector,scribe,total_basal_area,season,location,tag,spcode
23-May-2013,1,2,1,B,<2,60,1,1,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Valli,Audrey,0.785398163,mj13,K,NA,ORTR
23-May-2013,1,2,1,B,<2,100,11,1.5,1.3,1,1,1,60,N,Y,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Cori & Valli,Audrey,11.78882643,mj13,K,NA,RHGU
23-May-2013,1,2,2,A,<2,10,1,0.169,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.022431757,mj13,K,NA,EHRI
23-May-2013,1,2,2,A,<2,10,1,0.31,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.075476764,mj13,K,NA,EHRI
23-May-2013,1,2,2,A,<2,20,1,0.236,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.043743536,mj13,K,NA,EHRI
23-May-2013,1,2,2,A,<2,20,3,0.45,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.159043128,mj13,K,NA,EHRI
23-May-2013,1,2,2,A,<2,30,1,0.384,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.115811672,mj13,K,NA,EHRI
23-May-2013,1,2,2,A,<2,30,1,0.207,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.033653526,mj13,K,NA,EHRI
23-May-2013,1,2,2,A,<2,30,1,0.184,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.02659044,mj13,K,NA,EHRI
23-May-2013,1,2,2,A,<2,30,2,0.369,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,N,NA,NA,Y,NA,Karen and Vellie,Peter,0.106940599,mj13,K,NA,EHRI
